Year,No Major League Experience,Less than 5 WAR,5-10 WAR,10-15 WAR,15-20 WAR,20-25 WAR,More than 25 WAR
1965,0.8325242718446602,0.13106796116504854,0.013349514563106795,0.00849514563106796,0.006067961165048544,0.0024271844660194173,0.006067961165048544
1966,0.8748495788206979,0.0914560770156438,0.018050541516245487,0.007220216606498195,0.0036101083032490976,0.0024067388688327317,0.0024067388688327317
1967,0.9128205128205128,0.06153846153846154,0.006153846153846154,0.008205128205128205,0.005128205128205128,0.0020512820512820513,0.0041025641025641026
1968,0.8870614035087719,0.08114035087719298,0.01425438596491228,0.007675438596491228,0.007675438596491228,0.0010964912280701754,0.0010964912280701754
1969,0.8800383877159309,0.09404990403071017,0.009596928982725527,0.0047984644913627635,0.007677543186180422,0.0019193857965451055,0.0019193857965451055
1970,0.8910463861920173,0.08629989212513485,0.007551240560949299,0.006472491909385114,0.005393743257820928,0.0,0.003236245954692557
1971,0.8726591760299626,0.10362047440699126,0.012484394506866416,0.0024968789013732834,0.0,0.0024968789013732834,0.006242197253433208
1972,0.8445006321112516,0.11378002528445007,0.011378002528445006,0.010113780025284451,0.008849557522123894,0.006321112515802781,0.0050568900126422255
1973,0.8647925033467202,0.09504685408299866,0.01740294511378849,0.00535475234270415,0.009370816599732263,0.004016064257028112,0.004016064257028112
1974,0.8296943231441049,0.12663755458515283,0.018922852983988356,0.01455604075691412,0.005822416302765648,0.004366812227074236,0.0
1975,0.8394698085419735,0.12960235640648013,0.013254786450662739,0.007363770250368188,0.005891016200294551,0.0029455081001472753,0.0014727540500736377
1976,0.8274894810659187,0.13043478260869565,0.016830294530154277,0.012622720897615708,0.008415147265077139,0.001402524544179523,0.002805049088359046
1977,0.8335483870967741,0.13032258064516128,0.011612903225806452,0.012903225806451613,0.007741935483870968,0.0012903225806451613,0.0025806451612903226
1978,0.8151476251604621,0.13222079589216945,0.023106546854942234,0.008985879332477536,0.007702182284980745,0.007702182284980745,0.005134788189987163
1979,0.8379310344827586,0.12528735632183907,0.016091954022988506,0.005747126436781609,0.009195402298850575,0.0034482758620689655,0.0022988505747126436
1980,0.8461538461538461,0.12259615384615384,0.013221153846153846,0.010817307692307692,0.003605769230769231,0.002403846153846154,0.001201923076923077
1981,0.8417350527549824,0.11371629542790153,0.011723329425556858,0.011723329425556858,0.005861664712778429,0.005861664712778429,0.009378663540445486
1982,0.8122743682310469,0.13598074608904934,0.02045728038507822,0.01444043321299639,0.006016847172081829,0.0036101083032490976,0.007220216606498195
1983,0.8476420798065296,0.11366384522370013,0.016928657799274487,0.007255139056831923,0.008464328899637243,0.0048367593712212815,0.0012091898428053204
1984,0.8557806912991657,0.11084624553039332,0.0166865315852205,0.00834326579261025,0.0023837902264600714,0.003575685339690107,0.0023837902264600714
1985,0.8197115384615384,0.13581730769230768,0.020432692307692308,0.009615384615384616,0.003605769230769231,0.007211538461538462,0.003605769230769231
1986,0.8035914702581369,0.15937149270482603,0.015712682379349047,0.008978675645342313,0.004489337822671156,0.006734006734006734,0.001122334455667789
1987,0.8258115597783057,0.14330958036421218,0.013460015835312747,0.007125890736342043,0.003167062549485352,0.00395882818685669,0.003167062549485352
1988,0.8639218422889045,0.10956036287508723,0.013258897418004187,0.0027913468248429866,0.00418702023726448,0.0034891835310537334,0.0027913468248429866
1989,0.8758389261744967,0.09932885906040269,0.009395973154362415,0.006711409395973154,0.0020134228187919465,0.003355704697986577,0.003355704697986577
1990,0.8419636852723604,0.13315400134498992,0.011432414256893073,0.008742434431741762,0.0020174848688634837,0.0006724949562878278,0.0020174848688634837
1991,0.8692933083176986,0.10694183864915573,0.01125703564727955,0.0068792995622263915,0.0031269543464665416,0.0006253908692933083,0.001876172607879925
1992,0.8526912181303116,0.12181303116147309,0.009915014164305949,0.006373937677053824,0.004957507082152974,0.002124645892351275,0.002124645892351275
1993,0.8803021499128414,0.09877977919814061,0.006391632771644393,0.01220220801859384,0.0005810575246949448,0.0005810575246949448,0.0011621150493898896
1994,0.8745603751465416,0.10316529894490035,0.011137162954279016,0.006447831184056272,0.0011723329425556857,0.0011723329425556857,0.0023446658851113715
1995,0.8780048076923077,0.09615384615384616,0.01141826923076923,0.006009615384615385,0.004807692307692308,0.002403846153846154,0.001201923076923077
1996,0.8803222094361335,0.09723820483314154,0.00863060989643268,0.00805523590333717,0.004027617951668585,0.0011507479861910242,0.0005753739930955121
1997,0.8705662725575607,0.10952084629744867,0.0074673304293715,0.006845052893590542,0.001866832607342875,0.0012445550715619166,0.002489110143123833
1998,0.8643598615916955,0.10173010380622838,0.01591695501730104,0.008304498269896194,0.004152249134948097,0.0020761245674740486,0.0034602076124567475
1999,0.8710990502035278,0.10379918588873813,0.011533242876526458,0.0033921302578018998,0.004070556309362279,0.004070556309362279,0.0020352781546811396
2000,0.8601928374655647,0.11225895316804407,0.010330578512396695,0.006198347107438017,0.0048209366391184574,0.0027548209366391185,0.003443526170798898
2001,0.8599326599326599,0.11245791245791245,0.012121212121212121,0.006060606060606061,0.00404040404040404,0.0013468013468013469,0.00404040404040404
2002,0.8589743589743589,0.11133603238866396,0.01282051282051282,0.004048582995951417,0.004048582995951417,0.006072874493927126,0.002699055330634278
2003,0.8493243243243244,0.12162162162162163,0.018243243243243244,0.0033783783783783786,0.004054054054054054,0.0013513513513513514,0.002027027027027027
2004,0.8644859813084113,0.1081441922563418,0.01335113484646195,0.004672897196261682,0.004672897196261682,0.0026702269692923898,0.0020026702269692926
